column,value,label_value,count,count_share,label_count,label_share
main_transit_mode,3,None of the above,3283,0.912705031971087,3283.0,0.912705031971087
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,186,0.05170975813177648,186.0,0.05170975813177648
main_transit_mode,MTS_1_992,MTS Route 992,128,0.035585209897136504,128.0,0.035585209897136504
main_mode,12.0,Dropped off by car by family/friend,1121,0.34145598537922633,1121.0,0.34156002437538086
main_mode,10.0,Uber/Lyft,1074,0.32713981114833995,1074.0,0.3272394881170018
main_mode,19.0,Rental car: Dropped off at rental agency,354,0.10782820590922937,354.0,0.10786106032906764
main_mode,13.0,Drove alone and parked,195,0.05939689308559245,195.0,0.05941499085923217
main_mode,21.0,Hotel shuttle van,89,0.027109351203167834,89.0,0.027117611212675197
main_mode,20.0,Rental car: parked rental car,82,0.024977155041120927,82.0,0.024984765386959172
main_mode,9.0,Taxi,77,0.023454157782515993,77.0,0.023461304082876295
main_mode,14.0,Drove with others and parked,63,0.019189765458422176,63.0,0.019195612431444242
main_mode,27.0,Rental car: Picked up at rental agency,45,0.01370697532744441,45.0,0.013711151736745886
main_mode,11.0,Car service/black car/limo/executive car,40,0.012183978068839476,40.0,0.01218769043266301
main_mode,22.0,Other shared van (please specify),24,0.007310386841303686,24.0,0.007312614259597806
main_mode,23.0,Picked up by car by family/friend,22,0.006701187937861712,22.0,0.006703229737964655
main_mode,30.0,Other public transit,18,0.005482790130977765,18.0,0.005484460694698354
main_mode,18.0,Employee shuttle,17,0.005178190679256778,17.0,0.005179768433881779
main_mode,17.0,Chartered tour bus,14,0.0042643923240938165,14.0,0.0042656916514320535
main_mode,98.0,Other,13,0.0039597928723728295,13.0,0.003960999390615478
main_mode,1.0,Walk,10,0.003045994517209869,10.0,0.0030469226081657527
main_mode,24.0,Get in a parked vehicle and drive alone,8,0.0024367956137678953,8.0,0.002437538086532602
main_mode,28.0,Rental car: get in a parked rental car,6,0.0018275967103259215,6.0,0.0018281535648994515
main_mode,29.0,Rode with other traveler(s) and parked,6,0.0018275967103259215,6.0,0.0018281535648994515
main_mode,25.0,Get in a parked vehicle and drive with others,3,0.0009137983551629607,3.0,0.0009140767824497258
main_mode,16.0,Get in a parked vehicle and ride with other traveler(s),1,0.0003045994517209869,1.0,0.0003046922608165753
main_mode,26.0,,1,0.0003045994517209869,,
access_mode,1.0,Walk,114,0.3958333333333333,114.0,0.3958333333333333
access_mode,13.0,Drove alone and parked,72,0.25,72.0,0.25
access_mode,12.0,Dropped off by car by family/friend,38,0.13194444444444445,38.0,0.13194444444444445
access_mode,10.0,Uber/Lyft,21,0.07291666666666667,21.0,0.07291666666666667
access_mode,16.0,Other public transit,15,0.052083333333333336,15.0,0.052083333333333336
access_mode,98.0,Other,9,0.03125,9.0,0.03125
access_mode,11.0,Car service/black car/limo/executive car,8,0.027777777777777776,8.0,0.027777777777777776
access_mode,14.0,Drove with others and parked,6,0.020833333333333332,6.0,0.020833333333333332
access_mode,15.0,Rode with other traveler(s) and parked,3,0.010416666666666666,3.0,0.010416666666666666
access_mode,9.0,Taxi,2,0.006944444444444444,2.0,0.006944444444444444
egress_mode,1.0,Walk,20,0.7407407407407407,20.0,0.7407407407407407
egress_mode,14.0,Picked up by car by family/friend,5,0.18518518518518517,5.0,0.18518518518518517
egress_mode,11.0,Drive alone and park,1,0.037037037037037035,1.0,0.037037037037037035
egress_mode,15.0,Other shared van (please specify),1,0.037037037037037035,1.0,0.037037037037037035
reverse_mode,10.0,Uber/Lyft,595,0.3421506612995975,595.0,0.3421506612995975
reverse_mode,12.0,Dropped off by car by family/friend,465,0.2673950546290972,465.0,0.2673950546290972
reverse_mode,21.0,Rental car: Dropped off at rental agency,296,0.1702127659574468,296.0,0.1702127659574468
reverse_mode,22.0,Rental car: parked rental car,85,0.0488786658999425,85.0,0.0488786658999425
reverse_mode,9.0,Taxi,78,0.044853364002300174,78.0,0.044853364002300174
reverse_mode,23.0,Hotel shuttle van,58,0.03335250143760782,58.0,0.03335250143760782
reverse_mode,17.0,Airport flyer shuttle,27,0.015526164462334674,27.0,0.015526164462334674
reverse_mode,24.0,Other shared van (please specify),26,0.014951121334100058,26.0,0.014951121334100058
reverse_mode,16.0,MTS Route 992,18,0.010350776308223116,18.0,0.010350776308223116
reverse_mode,11.0,Car service/black car/limo/executive car,18,0.010350776308223116,18.0,0.010350776308223116
reverse_mode,18.0,Other public transit,16,0.009200690051753882,16.0,0.009200690051753882
reverse_mode,14.0,Drove with others and parked,16,0.009200690051753882,16.0,0.009200690051753882
reverse_mode,1.0,Walk,15,0.008625646923519264,15.0,0.008625646923519264
reverse_mode,13.0,Drove alone and parked,8,0.004600345025876941,8.0,0.004600345025876941
reverse_mode,19.0,Chartered tour bus,8,0.004600345025876941,8.0,0.004600345025876941
reverse_mode,20.0,Employee shuttle,6,0.0034502587694077054,6.0,0.0034502587694077054
reverse_mode,6.0,Bicycle: personal electric bicycle,2,0.0011500862564692352,2.0,0.0011500862564692352
reverse_mode,15.0,Rode with other traveler(s) and parked,2,0.0011500862564692352,2.0,0.0011500862564692352
reverse_mode_predicted,12.0,Dropped off by car by family/friend,533,0.452078032230704,533.0,0.452078032230704
reverse_mode_predicted,10.0,Uber/Lyft,370,0.3138252756573367,370.0,0.3138252756573367
reverse_mode_predicted,13.0,Drove alone and parked,91,0.07718405428329092,91.0,0.07718405428329092
reverse_mode_predicted,14.0,Drove with others and parked,49,0.041560644614079725,49.0,0.041560644614079725
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,21,0.017811704834605598,21.0,0.017811704834605598
reverse_mode_predicted,9.0,Taxi,18,0.015267175572519083,18.0,0.015267175572519083
reverse_mode_predicted,17.0,Airport flyer shuttle,17,0.01441899915182358,17.0,0.01441899915182358
reverse_mode_predicted,98.0,Other,15,0.01272264631043257,15.0,0.01272264631043257
reverse_mode_predicted,16.0,MTS Route 992,11,0.009329940627650551,11.0,0.009329940627650551
reverse_mode_predicted,21.0,Rental car: Dropped off at rental agency,11,0.009329940627650551,11.0,0.009329940627650551
reverse_mode_predicted,18.0,Other public transit,9,0.007633587786259542,9.0,0.007633587786259542
reverse_mode_predicted,20.0,Employee shuttle,7,0.005937234944868533,7.0,0.005937234944868533
reverse_mode_predicted,15.0,Rode with other traveler(s) and parked,6,0.005089058524173028,6.0,0.005089058524173028
reverse_mode_predicted,24.0,Other shared van (please specify),6,0.005089058524173028,6.0,0.005089058524173028
reverse_mode_predicted,1.0,Walk,4,0.0033927056827820186,4.0,0.0033927056827820186
reverse_mode_predicted,22.0,Rental car: parked rental car,3,0.002544529262086514,3.0,0.002544529262086514
reverse_mode_predicted,23.0,Hotel shuttle van,3,0.002544529262086514,3.0,0.002544529262086514
reverse_mode_predicted,3.0,Bicycle: electric bikeshare,2,0.0016963528413910093,2.0,0.0016963528413910093
reverse_mode_predicted,4.0,Bicycle: non-electric bikeshare,1,0.0008481764206955047,1.0,0.0008481764206955047
reverse_mode_predicted,7.0,Bicycle: personal non-electric bicycle,1,0.0008481764206955047,1.0,0.0008481764206955047
reverse_mode_predicted,2.0,Wheelchair or other mobility device,1,0.0008481764206955047,1.0,0.0008481764206955047
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,190,0.4691358024691358,190.0,0.4691358024691358
other_airport_accessmode,10.0,UBER LYFT,76,0.18765432098765433,76.0,0.18765432098765433
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,32,0.07901234567901234,32.0,0.07901234567901234
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,23,0.056790123456790124,23.0,0.056790123456790124
other_airport_accessmode,16.0,OTHER PUBLIC TRANSIT,17,0.04197530864197531,17.0,0.04197530864197531
other_airport_accessmode,19.0,RENTAL CAR AND DROPPED IT OFF AT RENTAL AGENCY,17,0.04197530864197531,17.0,0.04197530864197531
other_airport_accessmode,9.0,TAXI,12,0.02962962962962963,12.0,0.02962962962962963
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,11,0.027160493827160494,11.0,0.027160493827160494
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,8,0.019753086419753086,8.0,0.019753086419753086
other_airport_accessmode,1.0,WALK,7,0.01728395061728395,7.0,0.01728395061728395
other_airport_accessmode,11.0,CAR SERVICE BLACK CAR LIMO EXECUTIVE CAR,3,0.007407407407407408,3.0,0.007407407407407408
other_airport_accessmode,21.0,HOTEL SHUTTLE VAN,3,0.007407407407407408,3.0,0.007407407407407408
other_airport_accessmode,17.0,CHARTERED TOUR BUS,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,7.0,PERSONAL NON ELECTRIC BICYCLE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,22.0,OTHER SHARED RIDE VAN SERVICE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,15.0,RODE WITH OTHER TRAVELER AND PARKED,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,3.0,ELECTRIC BIKESHARE,1,0.0024691358024691358,1.0,0.0024691358024691358
other_airport_accessmode,18.0,EMPLOYEE SHUTTLE,1,0.0024691358024691358,1.0,0.0024691358024691358
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,156,0.5777777777777777,156.0,0.5777777777777777
reverse_commute_mode,12.0,Picked up by car by family/friend,36,0.13333333333333333,36.0,0.13333333333333333
reverse_commute_mode,16.0,MTS Route 992,31,0.11481481481481481,31.0,0.11481481481481481
reverse_commute_mode,10.0,Uber/Lyft,11,0.040740740740740744,11.0,0.040740740740740744
reverse_commute_mode,14.0,Get in a parked vehicle and drive with others,10,0.037037037037037035,10.0,0.037037037037037035
reverse_commute_mode,17.0,Airport flyer shuttle,8,0.02962962962962963,8.0,0.02962962962962963
reverse_commute_mode,1.0,Walk,8,0.02962962962962963,8.0,0.02962962962962963
reverse_commute_mode,15.0,Get in a parked vehicle and ride with other traveler(s),4,0.014814814814814815,4.0,0.014814814814814815
reverse_commute_mode,18.0,Other public transit,3,0.011111111111111112,3.0,0.011111111111111112
reverse_commute_mode,11.0,Car service/black car/limo/executive car,1,0.003703703703703704,1.0,0.003703703703703704
reverse_commute_mode,98.0,Other,1,0.003703703703703704,1.0,0.003703703703703704
reverse_commute_mode,9.0,Taxi,1,0.003703703703703704,1.0,0.003703703703703704
